date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:34	150516/150516	---M--	200	added ('OK')	font/woff2	etag:%2265658842-24bf4%22	https://almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-solid-900.woff2	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-solid-900.woff2	(from https://almasahotel-alsokhna.com/sokhna/css/fontawesome/css/all.css)
12:51:34	4568/4568	---M--	200	added ('OK')	font/woff2	etag:%2265658842-11d8%22	https://almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-v4compatibility.woff2	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-v4compatibility.woff2	(from https://almasahotel-alsokhna.com/sokhna/css/fontawesome/css/all.css)
12:51:34	397420/397420	---M--	200	added ('OK')	application/font-sfnt	etag:%2265658842-6106c%22	https://almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-solid-900.ttf	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-solid-900.ttf	(from https://almasahotel-alsokhna.com/sokhna/css/fontawesome/css/all.css)
12:51:34	10140/10140	---M--	200	added ('OK')	application/font-sfnt	etag:%2265658842-279c%22	https://almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-v4compatibility.ttf	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/fontawesome/webfonts/fa-v4compatibility.ttf	(from https://almasahotel-alsokhna.com/sokhna/css/fontawesome/css/all.css)
12:51:34	787/787	---M--	200	added ('OK')	image/svg+xml	etag:%22313-60b3082611480%22	https://almasahotel-alsokhna.com/sokhna/img/plus.svg	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/img/plus.svg	(from https://almasahotel-alsokhna.com/sokhna/css/style.css)
12:51:35	629/629	---M--	200	added ('OK')	image/svg+xml	etag:%22275-60b3082611480%22	https://almasahotel-alsokhna.com/sokhna/img/minus.svg	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/img/minus.svg	(from https://almasahotel-alsokhna.com/sokhna/css/style.css)
12:51:35	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:35%20GMT	https://almasahotel-alsokhna.com/sokhna/img/drag_icon.svg	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/img/drag_icon.svg	(from https://almasahotel-alsokhna.com/sokhna/css/style.css)
12:51:36	177477/177477	---M--	200	added ('OK')	image/png	etag:%2265658842-2b545%22	https://almasahotel-alsokhna.com/sokhna/img/pattern.png	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/img/pattern.png	(from https://almasahotel-alsokhna.com/sokhna/css/style.css)
12:51:36	154858/154858	---M--	200	added ('OK')	image/png	etag:%2265658842-25cea%22	https://almasahotel-alsokhna.com/sokhna/img/pattern_2.png	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/img/pattern_2.png	(from https://almasahotel-alsokhna.com/sokhna/css/style.css)
12:51:36	102380/102380	---M--	200	added ('OK')	font/woff2	etag:%2265658841-18fec%22	https://almasahotel-alsokhna.com/sokhna/css/bs-icon-font/fonts/bootstrap-iconse8a7.woff2?08efbba7c53d8c5413793eecb19b20bb	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/bs-icon-font/fonts/bootstrap-iconse8a7e8a7.woff2	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:37	137216/137216	---M--	200	added ('OK')	application/font-woff	etag:%2265658841-21800%22	https://almasahotel-alsokhna.com/sokhna/css/bs-icon-font/fonts/bootstrap-iconse8a7.woff?08efbba7c53d8c5413793eecb19b20bb	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/bs-icon-font/fonts/bootstrap-iconse8a7e8a7.woff	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:37	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:37%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-icons.eot	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-icons.eot	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:37	9931671/9931671	---M--	200	added ('OK')	image/jpeg	etag:%2265661d4e-978b97%22	https://almasahotel-alsokhna.com/uploads/Masa-33_4764b7407f80abfc833dac871dbc318e.jpg	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/uploads/Masa-33_4764b7407f80abfc833dac871dbc318e.jpg	(from https://almasahotel-alsokhna.com/)
12:51:38	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:38%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-icons.eot?	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-iconsd41d.eot	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
12:51:38	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2009:51:38%20GMT	https://almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-icons.woff	C:/laragon/www/massa/sokhna/almasahotel-alsokhna.com/sokhna/css/custom-icons/fonts/hotel-icons.woff	(from https://almasahotel-alsokhna.com/sokhna/css/vendors.min.css)
